team,player,salary,position
balco,Michael Brantley,15,OF
balco,Starling Marte,14,OF
balco,Alex Gordon,28,OF
balco,Carlos Santana,24,3B
balco,Jonathan Lucroy,16,C
balco,Jon Singleton,4,CI
balco,Didi Gregorius,9,SS
balco,Mike Zunino,12,C
balco,C.J. Cron,4,1B
balco,Robinson Cano,28,2B
balco,Derek Holland,4,P
bellevegas,Jose Abreu,23,1B
bellevegas,Josh Donaldson,11,3B
bellevegas,Matt Adams,9,DH
bellevegas,Jean Segura,14,SS
bellevegas,Kolten Wong,4,2B
bellevegas,Chris Carter,11,CI
bellevegas,Jorge Alfaro,0,B
bellevegas,Masahiro Tanaka,23,P
bellevegas,Greg Holland,14,P
bellevegas,Michael Wacha,9,P
bellevegas,Jered Weaver,17,P
bellevegas,Justin Verlander,15,P
bellevegas,Carlos Martinez,4,P
bellevegas,Rick Porcello,10,P
rippe,Mike Trout,29,OF
rippe,Andrew McCutchen,29,OF
rippe,Jose Altuve,16,2B
rippe,Edwin Encarnacion,27,1B
rippe,Christian Yelich,9,OF
rippe,Manny Machado,14,3B
rippe,Matt Carpenter,9,CI
rippe,Byron Buxton,0,B
rippe,David Lough,2,OF
rippe,Chase Utley,13,MI
rippe,Sean Doolittle,4,P
rippe,Julio Teheran,11,P
rippe,Trevor Rosenthal,9,P
rippe,Carlos Carrasco,17,P
counsel,Anthony Rendon,9,2B
counsel,Nick Castellanos,4,3B
counsel,Xander Bogaerts,9,SS
counsel,Miguel Montero,17,C
counsel,Austin Hedges,4,C
counsel,Jason Heyward,26,OF
counsel,Jacoby Ellsbury,36,OF
counsel,Evan Longoria,28,CI
counsel,Brandon Moss,28,1B
counsel,Matt Harvey,14,P
counsel,Phil Hughes,9,P
counsel,Wily Peralta,9,P
counsel,Archie Bradley,0,B
counsel,Jon Gray,3,B
pasadena,Bryce Harper,14,OF
pasadena,Avisail Garcia,9,OF
pasadena,Kyle Seager,14,3B
pasadena,Jorge Soler,4,OF
pasadena,Joc Pederson,4,OF
pasadena,Wil Myers,9,OF
pasadena,Arismendy Alcantara,4,2B
pasadena,Kris Bryant,3,B
pasadena,Addison Russell,7,B
pasadena,Joey Gallo,5,CI
pasadena,Eric Hosmer,18,1B
pasadena,Jake Arrieta,5,P
pasadena,Gerrit Cole,9,P
pasadena,Dallas Keuchel,4,P
pasadena,Cliff Lee,18,P
deano,Miguel Cabrera,44,1B
deano,George Springer,4,OF
deano,Ryan Braun,37,OF
deano,Neil Walker,16,2B
deano,Pablo Sandoval,19,3B
deano,Evan Gattis,9,C
deano,Clint Frazier,0,B
deano,Dustin Pedroia,19,2B
deano,Freddie Freeman,28,CI
deano,Stephen Strasburg,24,P
deano,Cody Allen,4,P
deano,Tyson Ross,9,P
deano,Wade Davis,4,P
deano,Tyler Glasnow,0,B
deano,Anibal Sanchez,13,P
deener,Adrian Gonzalez,33,1B
deener,Hanley Ramirez,32,SS
deener,David Ortiz,36,DH
deener,Ben Revere,9,OF
deener,Marlon Byrd,9,OF
deener,Juan Lagares,5,OF
deener,Jordan Schafer,4,OF
deener,David Price,33,P
deener,Madison Bumgarner,29,P
deener,Craig Kimbrel,28,P
deener,Drew Smyly,9,P
dembums,Giancarlo Stanton,24,OF
dembums,Victor Martinez,18,1B
dembums,Corey Dickerson,5,OF
dembums,Josh Harrison,4,3B
dembums,Nelson Cruz,21,OF
dembums,Charlie Blackmon,4,OF
dembums,Chris Sale,24,P
dembums,Johnny Cueto,19,P
dembums,Jeff Samardzija,14,P
dembums,Michael Pineda,5,P
d&s,Melky Cabrera,9,OF
d&s,Brian Dozier,9,2B
d&s,J.D. Martinez,9,OF
d&s,Jason Werth,25,OF
d&s,Alex Rios,21,OF
d&s,Felix Hernandez,30,P
d&s,Adam Wainwright,28,P
d&s,Yu Darvish,21,P
d&s,Zack Greinke,28,P
d&s,Garrett Richards,9,P
d&s,Drew Hutchison,4,P
d&s,Brad Boxberger,6,P
d&s,Julio Urias,0,B
d&s,Kenta Maeda,0,B
jobu,Austin Jackson,19,OF
jobu,Casey McGehee,4,3B
jobu,Jose Reyes,4,SS
jobu,Leonys Martin,18,OF
jobu,Zach Britton,4,P
jobu,Andrew Cashner,10,P
jobu,Collin McHugh,4,P
jobu,Jose Quintana,9,P
jobu,Tanner Roark,4,P
jobu,Jon Niese,5,P
jobu,Jeremy Guthrie,4,P
jobu,R.A. Dickey,10,P
jobu,Edinson Volquez,7,P
jobu,Jonathan Papelbon,20,P
jobu,Syndergaard,0,B
baycity,Oswaldo Arcia,9,OF
baycity,Scooter Gennett,4,2B
baycity,Wilson Ramos,9,C
baycity,Francisco Lindor,0,B
baycity,Yasmani Grandal,6,C
baycity,Matt Kemp,27,OF
baycity,Adam Jones,33,OF
baycity,Jake McGee,6,P
baycity,Chris Tillman,9,P
baycity,Marcus Stroman,4,P
baycity,Zack Wheeler,9,P
baycity,Alex Meyer,0,B
baycity,Dylan Bundy,8,P
baycity,Max Scherzer,30,P
pk dodgers,Yasiel Puig,9,OF
pk dodgers,Dee Gordon,4,MI
pk dodgers,Howie Kendrick,14,2B
pk dodgers,Jung Ho Kang,4,2B
pk dodgers,Scott Van Slyke,4,OF
pk dodgers,Andre Ethier,2,OF
pk dodgers,Carl Crawford,12,OF
pk dodgers,Josh Hamilton,12,OF
pk dodgers,Erisbel Arruebarrena,0,B
pk dodgers,Jimmy Rollins,15,DH
pk dodgers,Matt Joyce,11,OF
pk dodgers,Francisco Cervelli,11,C
pk dodgers,Odrisamer Despaigne,6,P
pk dodgers,Jon Lester,17,P
pk dodgers,Hyun-Jin Ryu,23,P
pk dodgers,Hector Rondon,4,P
pk dodgers,Jason Hammel,4,P
pk dodgers,Zach Lee,0,B
pk dodgers,Clayton Kershaw,32,P
pk dodgers,Brandon McCarthy,11,P
pk dodgers,C.J. Wilson,7,P
bears,Anthony Rizzo,19,1B
bears,Marcell Ozuna,12,OF
bears,Yoenis Cespedes,23,OF
bears,Javier Baez,4,2B
bears,Pedro Alvarez,15,3B
bears,Alcides Escobar,6,SS
bears,Joey Votto,22,CI
bears,Jordan Zimmermann,22,P
bears,David Robertson,18,P
bears,Ian Kennedy,8,P
bears,Scott Kazmir,14,P
bears,Mike Minor,7,P
bears,Alex Wood,13,P
bears,Carlos Rodon,0,B
ottawa,Carlos Gomez,20,OF
ottawa,Todd Frazier,9,3B
ottawa,Danny Santana,8,SS
ottawa,Lorenzo Cain,5,OF
ottawa,Hunter Pence,27,OF
ottawa,Khris Davis,25,OF
ottawa,Alex Cobb,14,P
ottawa,Cole Hamels,23,P
ottawa,Jacob deGrom,4,P
ottawa,Mike Fiers,6,P
ottawa,Matt Shoemaker,5,P
ottawa,Shane Greene,5,P
ottawa,Fernando Rodney,15,P
marmaduke,Paul Goldschmidt,28,1B
marmaduke,Billy Hamilton,4,OF
marmaduke,Steve Pearce,8,OF
marmaduke,Lonnie Chisenhall,4,3B
marmaduke,Andrew Susac,5,C
marmaduke,Carlos Correa,0,B
marmaduke,Maikel Franco,6,CI
marmaduke,Kennys Vargas,5,DH
marmaduke,Mark Trumbo,21,OF
marmaduke,Nick Markakis,12,OF
marmaduke,Shin-Soo Choo,23,OF
marmaduke,Matt Holliday,27,OF
marmaduke,James Shields,18,P
marmaduke,Kenley Jansen,18,P
marmaduke,Eddie Butler,4,P
marmaduke,Mark Appel,0,B
marmaduke,Robert Stephenson,4,P
isotopes,Jose Bautista,24,OF
isotopes,Ian Desmond,28,SS
isotopes,Buster Posey,24,C
isotopes,Drew Stubbs,5,OF
isotopes,Steven Souza,15,OF
isotopes,Erick Aybar,11,MI
isotopes,Koji Uehara,9,P
isotopes,Jose Fernandez,10,P
isotopes,Doug Fister,19,P
isotopes,Sonny Gray,11,P
isotopes,Kevin Gausman,4,P
isotopes,Yordano Ventura,5,P
isotopes,Lucas Giolito,0,B
sturgeon,Gregory Polanco,10,OF
sturgeon,Nolan Arenado,9,3B
sturgeon,Devin Mesoraco,11,C
sturgeon,Chris Owings,4,SS
sturgeon,Yan Gomes,14,C
sturgeon,Kevin Kiermaier,4,OF
sturgeon,Stephen Vogt,6,1B
sturgeon,David Dahl,0,B
sturgeon,Miguel Sano,0,B
sturgeon,Carlos Gonzalez,29,OF
sturgeon,Albert Pujols,32,CI
sturgeon,Corey Kluber,10,P
sturgeon,Dellin Betances,4,P
sturgeon,Jenrry Mejia,4,P
virginia,Ian Kinsler,25,2B
virginia,Yadier Molina,24,C
virginia,Hisashi Iwakuma,16,P
virginia,Aroldis Chapman,20,P
virginia,Lance Lynn,16,P
virginia,Taijuan Walker,4,P
