"","Avg","Avg_points","ERA","ERA_points","HR","HR_points","K","K_points","R","R_points","RBI","RBI_points","SB","SB_points","Sv","Sv_points","W","W_points","WHIP","WHIP_points"
"1",0.2846,18,3.065,18,270,18,1476,18,800,1,1118,18,206,18,148,18,115,18,1.2034,18
"2",0.2728,17,3.19,17,265,17,1463,17,809,2,1078,17,194,17,121,17,115,18,1.2054,17
"3",0.2708,16,3.481,16,254,16,1390,16,849,4,1006,16,189,16,103,16,114,17,1.2082,16
"4",0.2686,15,3.507,15,252,15,1340,15,810,3,1001,15,177,14.5,87,15,112,17,1.2345,15
"5",0.2673,14,3.718,14,250,14,1338,14,803,3,993,14,177,14.5,85,14,110,16,1.2504,14
"6",0.2664,13,3.723,13,244,13,1289,13,859,5,947,13,171,13,82,13,108,17.5,1.2689,13
"7",0.2653,12,3.804,12,238,12,1274,12,824,4,930,12,168,12,77,12,108,17.5,1.2809,12
"8",0.2651,11,3.849,11,218,11,1215,11,1183,17,925,11,160,11,69,11,106,16,1.2865,11
"9",0.265,10,3.86,10,204,10,1172,10,867,6,922,10,157,10,58,10,106,14,1.3051,10
"10",0.265,9,3.865,9,202,9,1166,9,750,2,907,9,155,9,52,9,106,14,1.3204,9
"11",0.2649,8,3.926,8,199,7.5,1135,7.5,977,10,870,8,123,8,43,8,106,14,1.3236,8
"12",0.2642,7,4.051,7,199,7.5,1135,7.5,1200,18,849,7,121,7,38,7,103,15.5,1.3251,7
"13",0.2632,6,4.104,6,194,6,1116,6,885,7,838,6,117,6,34,6,103,15.5,1.3315,6
"14",0.2601,5,4.121,5,184,5,1115,5,841,5.5,837,5,113,5,31,5,101,12,1.341,5
"15",0.2594,4,4.144,4,176,3.5,1043,4,841,5.5,788,4,110,4,21,4,99,13.5,1.3413,4
"16",0.256,3,4.229,3,176,3.5,1009,3,882,7,764,3,108,3,13,3,99,13.5,1.3662,3
"17",0.2557,2,4.514,2,148,2,963,2,966,10,619,2,95,2,8,2,99,15,1.4211,2
"18",0.2549,1,4.72,1,144,1,880,1,994,11,414,1,52,1,5,1,98,14,1.4268,1
"19",0.2795,18,3.211,18,269,18,1370,18,706,1,1069,18,196,18,115,18,98,11,1.1624,18
"20",0.2727,17,3.258,17,258,17,1351,17,791,4,995,17,189,17,100,17,95,12,1.1806,17
"21",0.2693,16,3.491,16,257,16,1342,16,903,8,993,16,186,16,92,15.5,93,13,1.2238,16
"22",0.2693,15,3.491,15,250,15,1339,15,902,8,991,15,184,15,92,15.5,93,10,1.2242,15
"23",0.268,14,3.508,14,248,14,1308,14,756,3,928,14,180,14,91,14,92,11.5,1.2427,14
"24",0.2678,13,3.548,13,246,13,1302,13,926,9,925,13,169,13,78,13,92,11.5,1.2474,13
"25",0.2661,12,3.599,12,242,12,1299,12,811,5,912,12,163,12,69,12,91,9,1.2552,12
"26",0.2652,11,3.687,11,236,11,1287,11,919,9,907,10.5,151,11,67,11,89,10,1.259,11
"27",0.2651,10,3.817,10,194,10,1262,10,974,11,907,10.5,148,10,66,9.5,89,10,1.2654,10
"28",0.2639,9,3.888,9,187,9,1259,9,887,8,882,9,144,9,66,9.5,89,10,1.281,9
"29",0.2625,8,3.959,8,185,8,1202,8,828,6,859,8,143,8,61,8,89,9.5,1.2873,8
"30",0.2618,7,3.989,7,183,7,1079,7,996,12,811,7,141,7,60,7,89,9.5,1.2957,7
"31",0.26,6,3.99,6,181,5.5,1077,6,853,7,790,6,133,6,54,6,87,8,1.3095,6
"32",0.2599,5,4.107,5,181,5.5,1057,5,1157,18,767,5,132,5,36,5,87,8,1.3121,5
"33",0.2564,4,4.119,4,175,4,1009,4,901,9,753,4,107,4,23,4,86,7,1.3255,4
"34",0.2551,3,4.242,3,170,3,887,3,975,12,741,3,95,3,18,3,86,7,1.3304,3
"35",0.2549,2,4.305,2,162,2,792,2,918,10,734,2,92,2,9,2,83,6,1.3374,2
"36",0.251,1,4.612,1,156,1,763,1,1001,13,731,1,80,1,8,1,80,5,1.4008,1
"37",0.279,18,2.962,18,314,18,1519,18,942,11,1124,18,182,18,163,18,80,7.5,1.1633,18
"38",0.2755,17,3.233,17,299,17,1500,17,997,13,1031,17,170,17,105,17,80,7.5,1.1753,17
"39",0.2728,16,3.407,16,283,16,1473,16,966,12,1018,16,168,16,87,16,80,6,1.1971,16
"40",0.2715,15,3.553,15,281,15,1461,15,987,13,976,15,165,15,78,15,79,3.5,1.2006,15
"41",0.2668,14,3.584,14,251,14,1419,14,1015,14,975,14,160,14,76,14,79,3.5,1.205,14
"42",0.2653,13,3.605,13,248,13,1401,13,1014,14,971,13,156,13,75,13,76,6,1.2142,13
"43",0.2649,12,3.608,12,245,12,1381,12,1086,17,912,12,155,12,71,12,75,2,1.2227,12
"44",0.2631,11,3.784,11,236,11,1360,11,1027,15,901,11,139,11,70,11,75,5,1.2683,11
"45",0.2625,10,3.906,10,233,9.5,1285,10,1022,15,899,10,132,10,59,10,71,1,1.2701,10
"46",0.2615,9,3.961,9,233,9.5,1280,9,988,14,870,9,129,9,49,9,71,4,1.2911,9
"47",0.2612,8,4.08,8,217,8,1218,8,1040,16,839,8,128,8,48,8,70,5,1.2922,8
"48",0.2611,7,4.094,7,207,7,1173,7,1092,18,833,7,127,7,43,7,63,3,1.3203,7
"49",0.2607,6,4.117,6,206,6,1145,6,1034,16,816,5.5,119,5.5,42,6,63,4,1.3225,6
"50",0.2604,5,4.136,5,205,5,1016,5,993,15,816,5.5,119,5.5,34,4.5,60,2,1.3318,5
"51",0.258,4,4.398,4,194,4,942,4,621,2,809,4,102,4,34,4.5,56,3,1.3357,4
"52",0.2547,3,4.439,3,175,3,711,3,1008,16,801,3,101,3,29,3,52,1,1.3558,3
"53",0.2538,2,4.507,2,129,2,649,2,1015,17,758,2,95,2,24,2,38,2,1.3611,2
"54",0.2428,1,4.51,1,115,1,625,1,422,1,671,1,84,1,23,1,26,1,1.4072,1
